"","FID_","latitude","longitude","species","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"106",4831,33.4114,-117.24052,"acutidens",171,133,52,4186,302,51,251,126,223,229,122,308,59,2,84,167,8,16,158
"110",4835,32.8426,-116.606,"acutidens",137,157,50,5492,313,5,308,80,209,213,75,560,105,3,79,294,26,36,268
"118",4843,32.9992,-116.7599,"acutidens",168,155,52,5040,335,39,296,115,233,238,110,437,80,3,80,231,16,24,214
"127",4852,33.21553,-116.58725,"acutidens",138,155,48,5978,320,1,319,76,189,220,69,494,86,3,72,249,28,46,232
"132",4857,33.37222,-116.72472,"acutidens",142,154,48,5847,322,6,316,81,192,221,74,487,85,3,74,246,27,43,232
"134",4859,33.40168,-117.08331,"acutidens",173,144,51,4780,323,44,279,122,233,238,117,340,65,2,81,183,11,20,173
"140",4865,33.36,-116.83482,"acutidens",116,134,45,5912,284,-9,293,53,167,197,52,752,130,4,78,385,37,59,370
"151",5227,33.099499,-116.975998,"acutidens",176,138,52,4338,316,53,263,130,230,236,124,344,67,2,85,187,8,14,175
"152",5228,33.380001,-117.43,"acutidens",164,119,53,3690,278,56,222,124,208,215,121,323,61,2,85,175,9,15,166
"153",5229,33.005001,-116.998001,"acutidens",162,138,52,4360,307,46,261,116,217,223,112,447,83,3,83,240,11,18,223
"161",5237,33.11111,-117.17306,"acutidens",163,124,52,3954,289,51,238,121,212,219,117,391,77,2,86,214,8,14,200
"162",5238,33.223,-117.1759,"acutidens",169,127,53,3912,292,54,238,127,216,223,123,344,68,2,85,187,9,15,176
"167",5243,32.91722,-116.93056,"acutidens",177,140,54,4089,316,58,258,133,227,234,130,348,66,2,83,187,7,13,173
"170",5246,32.7561,-116.8618,"acutidens",159,145,54,4375,310,44,266,113,214,221,110,445,84,3,81,236,11,17,217
"175",5251,32.57361,-116.68889,"acutidens",146,158,54,4756,311,22,289,96,207,213,93,454,87,2,82,243,17,25,220
"177",5253,32.7537,-116.8603,"acutidens",159,145,54,4375,310,44,266,113,214,221,110,445,84,3,81,236,11,17,217
"181",5257,33.39512,-117.28797,"acutidens",173,127,53,3893,293,56,237,131,220,226,126,279,53,2,81,151,8,15,142
"186",5262,32.985,-116.9614,"acutidens",155,141,52,4555,307,38,269,108,213,219,103,503,94,3,84,269,13,21,249
"188",5264,32.7561,-116.86179,"acutidens",159,145,54,4375,310,44,266,113,214,221,110,445,84,3,81,236,11,17,217
"189",5265,32.75375,-116.86034,"acutidens",159,145,54,4375,310,44,266,113,214,221,110,445,84,3,81,236,11,17,217
"190",5266,33.38112,-117.4383,"acutidens",164,121,53,3782,281,54,227,123,209,216,120,330,62,2,84,178,9,15,169
"194",5270,32.66668,-116.80211,"acutidens",173,148,55,4183,320,53,267,127,225,232,125,311,59,2,84,166,7,12,153
"206",5282,32.8351,-116.766,"acutidens",162,153,53,4732,324,40,284,113,222,229,109,451,85,3,81,239,14,21,219
"212",5921,33.58345,-116.454,"acutidens",144,160,48,6292,333,1,332,78,201,228,71,385,61,2,61,179,28,56,171
"214",54831,32.67278,-116.56639,"acutidens",164,169,54,5108,342,31,311,110,204,235,106,384,72,2,80,208,15,24,190
"217",7271,19.35,-96.833,"grahamii",215,113,61,2255,306,122,184,231,183,238,183,1312,265,29,83,696,89,362,89
"221",6837,19.465,-103.7067,"grahamii",209,144,67,1588,311,98,213,219,201,226,185,809,188,2,105,538,10,328,37
"226",57859,19.45,-103.7,"grahamii",206,143,67,1598,308,95,213,216,197,224,182,764,176,2,106,511,8,308,34
"227",57860,19.465,-103.7067,"grahamii",209,144,67,1588,311,98,213,219,201,226,185,809,188,2,105,538,10,328,37
"231",7123,18.77,-103.16,"grahamii",236,125,63,1646,328,131,197,250,228,253,211,1221,245,6,98,716,25,514,52
"234",7371,17.687,-97.567,"grahamii",166,172,70,1768,283,38,245,177,142,187,141,674,148,5,90,345,18,255,26
"236",58797,18.77,-103.16,"grahamii",236,125,63,1646,328,131,197,250,228,253,211,1221,245,6,98,716,25,514,52
"245",7196,17.57,-99.27,"grahamii",203,135,70,1099,300,108,192,202,195,217,188,1235,260,3,103,765,23,309,25
"249",7296,16.58,-96.88,"grahamii",209,158,69,1560,317,90,227,218,188,226,186,789,174,2,96,436,8,304,14
"256",7366,17.305,-97.83,"grahamii",189,181,73,1572,303,58,245,200,167,207,167,764,151,6,88,419,31,256,31
"266",59457,16.2,-95.95,"grahamii",198,120,71,1087,278,110,168,204,183,211,183,1110,243,6,98,638,21,354,32
"274",7492,16.42,-94.04,"grahamii",237,119,70,1267,319,149,170,246,220,250,220,1407,310,3,101,792,13,452,29
"276",59909,16.42,-94.04,"grahamii",237,119,70,1267,319,149,170,246,220,250,220,1407,310,3,101,792,13,452,29
"277",59910,16.5,-94.12,"grahamii",224,116,70,1303,304,139,165,235,207,238,206,1201,254,5,98,673,21,367,35
"286",6714,20.335,-98.227,"grahamii",163,130,63,2306,262,57,205,178,140,188,131,1838,359,43,75,950,138,407,156
"287",6755,20.785,-98.725,"grahamii",165,140,63,2393,273,52,221,180,143,191,131,1255,289,27,75,620,96,313,99
"290",6762,20.652,-98.573,"grahamii",161,138,63,2360,268,49,219,176,140,187,129,1120,249,24,74,561,86,278,117
"302",6741,19.634,-96.952,"grahamii",177,95,58,2128,257,95,162,192,156,201,147,1594,312,55,64,707,167,419,173
"303",6804,19.672,-101.737,"grahamii",143,149,65,1973,258,30,228,153,140,166,115,1127,259,7,103,714,30,252,44
"305",6830,19.862,-100.172,"grahamii",157,161,67,1930,270,33,237,168,128,178,128,798,183,8,95,484,36,189,36
"307",6876,19.463,-101.8,"grahamii",126,139,66,1724,232,23,209,135,122,146,101,1297,284,7,99,803,34,292,52
"316",7139,19.617,-97.175,"grahamii",120,130,67,1761,215,23,192,129,106,140,96,800,180,19,73,397,62,207,83
"329",58018,19.7,-100.828,"grahamii",125,139,68,1609,225,21,204,134,121,142,100,1442,316,12,96,877,60,340,65
"337",7144,19.408,-97.637,"grahamii",155,162,70,1938,262,33,229,172,127,175,127,524,94,6,75,249,21,205,21
"339",7189,18.397,-97.737,"grahamii",180,165,70,1803,293,58,235,192,155,201,154,546,147,3,96,305,10,239,15
"340",7356,18.23,-97.37,"grahamii",146,159,70,1717,257,30,227,156,122,165,121,578,134,6,88,300,23,217,29
"341",7372,18.666,-97.383,"grahamii",159,157,70,1747,268,46,222,174,134,178,134,524,108,5,84,261,22,198,22
"342",58823,19.408,-97.637,"grahamii",155,162,70,1938,262,33,229,172,127,175,127,524,94,6,75,249,21,205,21
"343",59034,18.142,-97.618,"grahamii",172,165,69,1915,285,48,237,191,146,195,145,613,155,4,93,317,18,257,24
"345",59036,18.397,-97.737,"grahamii",180,165,70,1803,293,58,235,192,155,201,154,546,147,3,96,305,10,239,15
"354",59503,17.536873,-96.953845,"grahamii",165,155,69,1528,275,53,222,172,156,184,143,691,137,6,90,376,21,217,34
"365",7362,17.38,-99.54,"grahamii",190,117,71,875,273,110,163,188,193,201,178,1521,328,6,103,940,31,91,36
"369",7380,17.55,-99.68,"grahamii",188,113,69,1004,272,109,163,186,192,201,175,1429,319,6,102,873,28,88,33
"370",7381,17.73,-99.74,"grahamii",198,121,66,1293,294,113,181,196,205,216,182,1178,261,4,103,727,21,292,43
"372",7383,17.43,-99.46,"grahamii",226,139,71,1253,322,128,194,229,228,243,209,1047,247,2,108,686,16,236,22
"373",7384,17.55,-99.62,"grahamii",196,120,69,1060,285,112,173,195,201,210,182,1313,285,5,103,811,25,83,29
"374",59562,17.43,-99.47,"grahamii",226,139,71,1253,322,128,194,229,228,243,209,1047,247,2,108,686,16,236,22
"378",59566,17.558,-99.675,"grahamii",176,106,70,845,255,105,150,175,181,188,166,1578,363,7,102,947,33,98,40
"386",7355,16.65,-96.25,"grahamii",224,147,69,1721,326,113,213,236,200,245,200,581,130,2,97,328,8,205,8
"391",7337,16.85,-92.9,"grahamii",229,138,69,1654,326,126,200,235,215,249,205,1298,269,7,98,746,26,400,27
"402",59471,16.83,-92.11,"grahamii",220,131,72,1456,309,129,180,230,205,234,198,1798,333,36,70,819,129,489,140
"406",59475,16.85,-92.9,"grahamii",229,138,69,1654,326,126,200,235,215,249,205,1298,269,7,98,746,26,400,27
"409",59961,15.32,-92.34,"grahamii",230,132,75,946,316,141,175,234,217,241,217,2871,531,27,80,1386,87,870,175
"412",7290,16.5,-93.91,"grahamii",235,120,70,1393,317,146,171,246,216,249,215,1086,239,2,102,624,11,347,20
"417",59980,15.98,-93,"grahamii",225,143,70,1317,322,120,202,230,207,241,207,1897,379,5,97,1083,22,554,22
"423",7135,19.193,-99.023,"grahamii",151,170,68,2032,265,17,248,167,121,172,121,774,163,7,91,449,27,230,27
"427",7141,19.438,-98.883,"grahamii",152,179,69,2027,271,13,258,169,123,173,123,592,121,5,84,326,21,192,21
"430",7146,19.475,-98.898,"grahamii",153,181,69,2042,272,12,260,171,123,174,123,594,121,5,85,329,20,189,20
"442",57295,21.505,-104.983,"grahamii",180,137,64,2185,280,69,211,200,164,203,149,1198,299,3,110,828,23,745,85
"444",6760,20.915,-99.564,"grahamii",150,149,66,2238,263,38,225,163,120,175,118,1076,218,17,80,559,63,274,72
"445",6563,24,-99,"affinis",241,136,51,4602,361,97,264,272,177,293,177,764,161,19,71,324,58,246,58
"448",6625,21.333,-99.383,"affinis",225,142,57,3359,344,98,246,249,194,260,178,1148,276,17,88,624,56,435,79
"452",56764,24,-99,"affinis",241,136,51,4602,361,97,264,272,177,293,177,764,161,19,71,324,58,246,58
"454",56934,23.008,-99.175,"affinis",215,129,56,3498,320,90,230,244,178,251,165,1050,210,17,82,558,64,473,64
"456",57447,23,-99,"affinis",256,122,53,3913,359,130,229,296,200,296,200,1118,231,16,83,595,51,595,51
"459",6743,19.768,-96.802,"affinis",148,99,60,1943,230,66,164,159,130,170,121,1589,312,45,63,733,172,368,232
"461",6745,19.75,-96.788,"affinis",142,102,61,1956,225,59,166,153,142,164,115,1657,358,45,66,772,173,363,246
"473",6778,20.8,-98.75,"affinis",191,148,62,2700,303,68,235,210,153,219,153,965,225,17,79,487,61,361,61
"475",6782,20.75,-98.699,"affinis",152,134,62,2293,260,46,214,164,133,179,121,1381,306,30,74,685,108,333,152
"483",57625,20.772,-98.706,"affinis",146,131,62,2231,253,44,209,157,128,172,116,1510,350,32,77,764,112,352,164
"486",57628,20.759,-98.713,"affinis",161,140,63,2390,270,50,220,177,140,188,129,1237,277,27,74,607,97,309,101
"487",57629,20.8,-98.75,"affinis",191,148,62,2700,303,68,235,210,153,219,153,965,225,17,79,487,61,361,61
"490",7148,20.348,-98.355,"affinis",142,131,64,1926,244,42,202,149,117,166,116,1061,229,18,78,547,66,273,92
"491",7197,19.034,-98.957,"affinis",144,161,69,1763,253,20,233,157,118,164,118,1003,200,8,95,590,31,302,31
"498",7388,17.13,-96.48,"affinis",115,126,72,940,205,32,173,117,111,128,104,1351,259,18,79,683,70,186,90
"500",59574,17.13,-96.48,"affinis",115,126,72,940,205,32,173,117,111,128,104,1351,259,18,79,683,70,186,90
"501",59576,17.5,-96.5,"affinis",117,129,71,1092,210,30,180,119,112,131,102,2314,403,37,78,1180,130,209,244
"506",59047,18.15,-96.98,"affinis",129,144,69,1436,234,27,207,136,120,147,109,1478,297,17,83,801,69,349,154
"507",59575,17.75,-96.5,"affinis",191,121,65,1699,282,98,184,197,177,212,167,2388,455,38,78,1240,135,539,277
"508",7180,18.32,-94.83,"affinis",197,88,59,1765,272,125,147,208,207,216,172,2744,440,64,60,1207,204,489,420
"509",58984,18.32,-94.83,"affinis",197,88,59,1765,272,125,147,208,207,216,172,2744,440,64,60,1207,204,489,420
"511",6610,23.513,-100.832,"affinis",162,171,66,2941,291,33,258,192,132,194,120,342,55,6,59,148,38,147,41
"513",6623,25.47,-100.85,"affinis",181,137,55,4084,303,55,248,220,138,229,126,369,74,7,71,194,28,164,36
"517",6618,24.87,-100.22,"affinis",97,138,67,2046,200,-5,205,113,86,120,67,733,124,25,54,316,82,257,90
"518",6619,25.174,-100.124,"affinis",138,141,67,2105,237,29,208,156,113,162,108,654,123,19,61,292,67,224,71
"520",6621,23.0413,-99.3079,"affinis",161,140,61,2737,270,44,226,181,122,191,122,903,186,15,77,444,66,376,66
"521",6624,24.868,-100.232,"affinis",78,133,66,1965,180,-20,200,92,68,100,49,826,139,28,55,360,91,289,102
"522",6626,24.87222,-100.24361,"affinis",78,133,66,1965,180,-20,200,92,68,100,49,826,139,28,55,360,91,289,102
"525",56935,23.15,-99.216,"affinis",183,138,59,3151,291,59,232,208,138,216,138,945,198,13,86,504,56,420,56
"526",56936,23.1,-99.266,"affinis",155,139,62,2708,264,41,223,176,127,185,116,943,197,17,76,459,72,385,72
"527",56937,23.0413,-99.3079,"affinis",161,140,61,2737,270,44,226,181,122,191,122,903,186,15,77,444,66,376,66
"528",56939,23.966,-99.45,"affinis",167,147,63,2873,274,42,232,182,126,198,126,1013,259,15,85,506,63,359,63
"530",56941,23.933,-99.483,"affinis",145,145,65,2458,250,30,220,156,110,172,110,985,234,20,78,470,73,352,73
"532",56943,23.973,-99.772,"affinis",186,154,60,3643,303,47,256,220,137,225,135,582,108,14,68,280,52,259,53
"534",56945,25.188,-100.135,"affinis",151,144,69,2128,248,40,208,169,126,175,121,629,129,16,66,287,58,214,61
"535",56946,24.87,-100.22,"affinis",97,138,67,2046,200,-5,205,113,86,120,67,733,124,25,54,316,82,257,90
"537",56948,24.872223,-100.243614,"affinis",78,133,66,1965,180,-20,200,92,68,100,49,826,139,28,55,360,91,289,102
"543",6720,20.18333,-98.55,"affinis",149,146,66,1837,258,40,218,156,126,172,124,713,143,10,77,350,33,234,43
"545",6771,21.206,-99.188,"affinis",203,146,62,2849,317,82,235,225,176,233,163,1222,297,19,85,641,64,445,74
"549",57504,20.611,-98.647,"affinis",155,138,63,2224,262,46,216,167,136,180,124,1022,220,21,74,511,79,266,106
"550",57505,20.633,-98.65,"affinis",145,132,62,2237,253,42,211,156,128,172,115,1280,294,25,77,655,93,308,134
"551",57506,20.645832,-98.7,"affinis",138,129,62,2145,245,39,206,148,123,165,110,1334,321,25,80,689,88,317,132
"553",57616,20.633,-98.55,"affinis",158,136,62,2301,265,49,216,172,138,184,127,1178,255,25,74,592,91,290,127
"559",58832,20.151,-98.662,"affinis",125,127,66,1559,220,30,190,133,106,144,104,897,150,20,67,411,62,283,80
"560",6768,21.242,-99.632,"affinis",198,158,65,2653,316,74,242,217,173,226,161,642,143,9,81,323,37,260,37
"561",6774,21.134,-99.625,"affinis",146,146,65,2259,258,36,222,160,116,172,115,1047,222,17,81,548,63,269,75
"563",57637,21.134,-99.625,"affinis",146,146,65,2259,258,36,222,160,116,172,115,1047,222,17,81,548,63,269,75
"566",6764,21.182,-99.32,"affinis",212,150,61,2977,329,86,243,234,184,243,170,998,237,12,88,534,42,386,47
"568",6769,20.915,-99.564,"affinis",150,149,66,2238,263,38,225,163,120,175,118,1076,218,17,80,559,63,274,72
"569",57636,20.915,-99.564,"affinis",150,149,66,2238,263,38,225,163,120,175,118,1076,218,17,80,559,63,274,72
"628",3986,34.57014,-118.55926,"agrifolia",162,152,48,5634,333,20,313,104,235,238,95,391,77,1,88,218,7,14,203
"681",54403,34.4608,-119.1898,"agrifolia",155,151,54,4294,304,29,275,110,208,214,104,522,117,0,99,319,2,9,308
"731",1912,37.9189,-122.491997,"agrifolia",144,94,51,3116,236,55,181,107,177,181,102,858,187,1,92,474,9,12,474
"736",1917,37.88337,-122.45395,"agrifolia",143,87,51,2761,229,61,168,106,171,175,106,714,154,1,91,390,8,11,390
"780",1967,38.5028,-122.323,"agrifolia",146,149,49,5350,323,24,299,81,214,214,81,881,193,1,91,488,9,9,488
"783",1971,38.6668,-122.849,"agrifolia",148,154,54,4528,308,26,282,90,203,203,90,1041,231,1,92,588,10,18,588
"824",2012,38.4577,-122.8677,"agrifolia",137,150,57,4020,282,22,260,85,184,186,85,1043,230,2,92,581,12,20,581
"851",2039,38.0561,-122.81068,"agrifolia",129,114,57,3098,236,39,197,95,164,168,90,1039,220,2,90,565,13,19,559
"892",2080,38.66667,-122.68333,"agrifolia",133,151,49,5308,313,10,303,70,202,202,70,1100,235,2,90,598,13,23,598
"925",2375,37.2557,-121.9638,"agrifolia",149,135,53,4134,286,35,251,97,199,202,97,552,120,1,90,301,5,10,301
"979",2567,37.757702,-122.459999,"agrifolia",137,80,52,2321,216,64,152,112,158,165,107,640,133,1,87,335,9,53,335
"984",2575,37.7015,-122.458,"agrifolia",134,83,54,2348,214,62,152,110,157,163,104,654,134,1,87,340,9,12,339
"1024",2664,37.42722,-122.16917,"agrifolia",144,114,54,3598,250,39,211,97,186,188,97,462,95,1,87,245,6,9,245
"1046",2744,37.591099,-121.936997,"agrifolia",146,131,51,4432,289,35,254,91,199,204,91,523,105,1,86,271,6,10,271
"1118",2818,37.86083,-122.25,"agrifolia",141,95,52,3032,236,55,181,101,172,177,101,624,135,1,87,337,7,10,337
"1137",2837,36.77018,-121.67472,"agrifolia",139,123,60,2828,244,41,203,103,169,174,103,402,83,1,88,217,5,9,217
"1158",2859,37.81806,-122.17557,"agrifolia",141,113,52,3863,260,44,216,93,186,191,93,688,139,1,86,356,8,13,356
"1199",3526,35.35,-120.25,"agrifolia",132,162,52,5097,311,2,309,79,199,201,74,600,114,1,88,328,5,16,315
"1202",3529,35.33333,-120.23333,"agrifolia",129,159,52,5067,305,2,303,77,195,198,72,630,119,1,89,343,5,16,330
"1238",4245,34.5032,-120.2164,"agrifolia",147,118,60,2733,244,48,196,117,177,184,115,453,93,0,96,266,2,7,248
"1307",53459,37.773834,-122.45583,"agrifolia",139,80,52,2326,217,66,151,108,160,166,108,623,130,1,89,328,9,11,328
"1312",53464,37.714,-122.4774,"agrifolia",135,78,53,2129,211,65,146,107,153,161,107,579,122,1,87,304,8,49,304
"1331",53553,37.792213,-122.17455,"agrifolia",141,111,53,3659,253,45,208,95,182,188,95,656,133,1,87,338,8,12,338
"1347",53569,37.87167,-122.27167,"agrifolia",144,90,51,2876,234,60,174,105,172,177,105,591,129,1,88,322,7,10,322
"1374",69987,39.012807,-123.110887,"agrifolia",140,158,51,5164,321,14,307,79,208,208,79,1006,213,2,89,548,13,22,548
"1405",70021,38.040072,-122.581829,"agrifolia",141,113,53,3730,254,42,212,97,184,187,92,989,220,1,93,556,10,14,555
"1477",80435,34.740254,-120.456513,"agrifolia",138,109,62,2222,225,51,174,112,159,166,111,401,81,0,90,224,2,8,211
"1484",1735,39,-122,"agrifolia",162,159,47,6350,356,18,338,81,242,242,81,443,92,1,87,235,8,8,235
"1522",53345,37.95778,-121.87944,"agrifolia",149,134,48,5078,307,31,276,86,211,215,86,500,104,1,86,263,6,11,263
"1527",5930,33.7279,-115.977,"agrifolia",191,164,45,7230,390,26,364,117,217,287,104,163,22,1,47,59,12,36,59
"1529",2382,37.0785,-121.8957,"agrifolia",138,136,55,3938,274,28,246,91,186,190,91,836,178,2,91,456,9,15,456
"1559",2619,37.0131,-122.0726,"agrifolia",132,125,58,3272,247,34,213,94,171,176,94,899,193,2,91,495,10,15,495
"1626",2796,36.5931,-121.8744,"agrifolia",132,93,59,1941,210,54,156,107,149,155,107,410,103,1,94,242,5,15,242
"1698",77560,36.351929,-121.800912,"agrifolia",123,124,63,2632,227,32,195,95,153,159,93,766,155,2,91,416,8,13,410
"1724",3939,34.35,-118.53639,"agrifolia",161,145,50,5019,319,32,287,108,224,230,102,485,96,1,91,274,7,15,258
"1739",3972,34.17996,-118.09668,"agrifolia",176,145,53,4440,324,51,273,129,231,237,124,518,110,1,93,310,7,17,286
"1778",4220,34.11278,-118.68667,"agrifolia",165,123,54,3664,285,60,225,126,209,217,124,485,105,0,97,284,4,10,275
"1785",4233,34.3884,-119.347,"agrifolia",156,138,57,3517,282,43,239,117,198,204,114,476,109,0,101,292,2,6,287
"1791",4244,34.16667,-118.80694,"agrifolia",158,129,53,3928,289,48,241,116,206,213,113,508,108,0,96,294,4,11,286
"1792",4295,34.1964,-118.261864,"agrifolia",161,141,49,5150,320,33,287,107,226,233,102,593,119,1,91,338,8,19,315
"1813",4316,33.644,-117.8838,"agrifolia",168,111,55,3132,268,69,199,134,203,211,131,304,65,0,93,180,4,9,171
"1867",4440,33.5199,-116.9879,"agrifolia",164,153,50,5367,335,30,305,107,233,237,101,424,80,2,81,227,15,26,214
"1956",4910,33.49129,-116.86671,"agrifolia",166,157,49,5635,344,28,316,107,213,243,100,412,75,2,78,216,18,31,204
"2102",5057,33.37501,-116.61999,"agrifolia",127,148,47,5984,304,-5,309,64,179,208,60,591,101,3,73,298,33,57,282
"2105",5060,33.25587,-116.75391,"agrifolia",145,154,48,5681,323,8,315,87,193,223,78,541,97,2,78,284,24,39,266
"2144",5288,33,-117,"agrifolia",168,136,52,4257,308,50,258,122,220,227,118,403,76,2,84,217,9,15,202
"2240",5384,32.65611,-116.57833,"agrifolia",150,170,54,5114,330,17,313,97,191,222,92,426,79,2,79,225,19,29,206
"2300",54931,32.75865,-117.19312,"agrifolia",172,83,49,2931,252,85,167,139,204,213,137,267,58,1,92,161,4,7,141
"2306",83362,34.157311,-117.758846,"agrifolia",167,154,50,5266,338,33,305,112,234,240,106,612,127,2,92,355,8,18,336
"2352",4178,33.9658,-120.098,"agrifolia",141,95,60,2212,220,63,157,116,162,170,116,446,93,0,97,260,1,5,260
"2382",5940,32.128239,-111.78302,"ajoensis",175,154,46,6725,347,16,331,257,205,263,93,435,83,6,64,206,26,168,114
"2383",5941,32.773941,-113.910904,"ajoensis",234,152,43,7253,413,65,348,325,262,326,143,99,17,0,54,40,4,26,31
"2384",5942,32.91901,-111.367226,"ajoensis",209,178,47,7594,403,25,378,303,241,307,115,425,56,14,36,139,49,118,126
"2385",5943,32.0681,-112.724999,"ajoensis",204,152,45,6863,379,44,335,290,229,292,120,268,56,2,64,124,11,97,72
"2386",5944,32.041698,-112.717003,"ajoensis",199,151,45,6793,373,42,331,285,223,287,116,287,60,3,66,133,12,105,77
"2387",5945,32.0583,-112.717003,"ajoensis",201,151,45,6838,376,43,333,288,227,290,118,278,58,3,64,129,12,102,75
"2388",5946,32.049999,-112.699997,"ajoensis",180,141,44,6554,348,33,315,263,203,265,101,366,73,4,63,166,18,132,101
"2389",5947,32.879501,-111.758003,"ajoensis",211,185,47,7788,412,21,391,308,246,313,114,234,43,4,53,93,16,76,64
"2390",5948,32.012798,-112.693001,"ajoensis",190,147,45,6671,361,37,324,274,213,276,109,325,67,3,64,151,14,119,88
"2391",5949,32.121101,-112.686997,"ajoensis",207,152,45,6976,383,46,337,295,232,297,121,260,55,2,66,121,11,95,69
"2392",5950,32.044201,-112.684998,"ajoensis",175,139,44,6491,341,30,311,257,198,260,98,385,76,4,62,174,18,138,108
"2393",5951,32.041698,-112.875,"ajoensis",212,155,45,6878,388,50,338,300,236,300,128,222,46,2,64,102,9,79,59
"2394",5952,32.3717,-112.860001,"ajoensis",221,133,41,7126,391,67,324,311,248,312,134,206,45,2,62,94,11,75,54
"2395",5953,32.8795,-111.7579,"ajoensis",211,185,47,7788,412,21,391,308,246,313,114,234,43,4,53,93,16,76,64
"2396",5954,32.1211,-112.6874,"ajoensis",207,152,45,6976,383,46,337,295,232,297,121,260,55,2,66,121,11,95,69
"2397",5955,32.704,-111.543,"ajoensis",211,181,47,7567,406,24,382,304,244,309,117,288,49,6,50,115,23,95,78
"2398",5956,32.05833,-112.71667,"ajoensis",201,151,45,6838,376,43,333,288,227,290,118,278,58,3,64,129,12,102,75
"2399",5957,32.0128,-112.6935,"ajoensis",190,147,45,6671,361,37,324,274,213,276,109,325,67,3,64,151,14,119,88
"2400",5958,32.04167,-112.71667,"ajoensis",199,151,45,6793,373,42,331,285,223,287,116,287,60,3,66,133,12,105,77
"2401",5959,32.05,-112.7,"ajoensis",180,141,44,6554,348,33,315,263,203,265,101,366,73,4,63,166,18,132,101
