"","plot","type","sp","cc.total","cc.planted","cc.weed","block","phyD","trtD","PD_as_designed","PD_planted","PD_SES_planted","MNTD_planted","MNTD_SES_planted","MPD_planted","MPD_SES_planted","PD_observed","PD_SES_observed","MNTD_abundance.weighted_observed","MNTD_SES_abundance.weighted_observed","MNTD_observed","MNTD_SES_observed","MPD_abundance.weighted_observed","MPD_SES_abundance.weighted_observed","MPD_observed","MPD_SES_observed","Change_in_MNTD","Change_in_MNTD_SES","Change_in_MNTD_abundance.weighted","Change_in_MNTD_SES_abundance.weighted","Change_in_MPD","Change_in_MPD_SES","Change_in_MPD_abundance.weighted","Change_in_MPD_SES_abundance.weighted","Change_in_PD","Change_in_PD_SES","SR_planted","SR_observed","Change_in_SR","MNTD_ratio","Abundance_weighted_MNTD_ratio","MPD_ratio","Abundance_weighted_MPD_ratio","PD_ratio","SR_ratio","MNTD_SES_ratio","Abundance_weighted_MNTD_SES_ratio","MPD_SES_ratio","Abundance_weighted_MPD_SES_ratio","PD_SES_ratio","CE","SE","NE"
"68",50,"Seed","HL.456657.rep1","75","55","45","A","H","L",1504.193710801,1238.211907351,1.41144127443914,160.079349193583,1.81250972494786,246.827336876682,-0.353298296876903,748.248099351,0.140659651740397,123.596003793729,-0.244335587542962,160.772568617571,0.441182516142606,143.269112100426,-0.707212184280398,221.990803243143,-0.950227562959998,0.693219423988126,-1.37132720880525,-36.4833453998541,-2.05684531249082,-24.8365336335389,-0.596929266083095,-103.558224776255,-0.353913887403495,-489.963808,-1.27078162269874,12,7,-5,1.00433047377741,0.772092118167378,0.899376892576742,0.5804426442927,0.604297289429064,0.583333333333333,0.243409737376884,-0.134805118107707,2.6895899905543,2.00174241011642,0.0996567510726161,NA,NA,NA
"74",55,"Seed","LH.389271.rep1","65","45","45","B","L","H",963.44861948,828.83278517,-1.52660761582924,36.9331926116667,-2.69767516523106,270.733409816212,0.483728880573254,762.09314092,-1.26133243004057,34.1490861840559,-1.35376891575864,31.707657584,-2.7735315709012,167.52854783493,0.577853903465029,279.989290828444,0.763852750512206,-5.22553502766666,-0.0758564056701405,-2.78410642761072,1.34390624947242,9.25588101223235,0.280123869938953,-103.204861981282,0.0941250228917754,-66.73964425,0.26527518578867,12,10,-2,0.858513855473843,0.924617769796287,1.03418817433177,0.618795249351223,0.91947755271733,0.833333333333333,1.02811917707803,0.501827993676432,1.5790927132715,1.19458218574882,0.826232240008461,NA,NA,NA
"80",60,"Plug","HL.456657.rep1","85",NA,NA,"A","H","L",1504.193710801,1238.211907351,1.41144127443914,160.079349193583,1.81250972494786,246.827336876682,-0.353298296876903,1238.211907351,1.480130958512,137.792987746816,0.649304227274028,160.079349193583,1.84792769448011,190.401128028354,-0.27062513371087,246.827336876682,-0.344163405217231,0,0.0354179695322512,-22.2863614467674,-1.16320549767383,0,0.00913489165967213,-56.4262088483277,0.0826731631660331,0,0.068689684072859,12,12,0,1,0.860779285029348,1,0.771394005370973,1,1,1.01954084386128,0.358234892942552,0.974143969160273,0.765996145758839,1.04866634221119,0.93843816954094,0.260794724137156,1.1992328936781
"82",61,"Plug","HL.246518.rep1","55",NA,NA,"A","H","L",1594.24542371,1217.56612371,1.80443029020904,165.476479810909,1.80989098393702,274.981090638182,0.619051398763249,1144.19668471,1.65095121792844,165.199628229794,1.16934214799431,167.350240092,1.5389323094232,239.458068081993,0.827975846574606,281.712651786444,0.810812146825275,1.87376028109091,-0.270958674513823,-0.276851581115295,-0.640548835942713,6.73156114826264,0.191760748062027,-35.5230225561891,0.208924447811358,-73.3694390000001,-0.1534790722806,11,10,-1,1.01132342362632,0.998326943010682,1.02448008745852,0.870816489694813,0.939740899840052,0.909090909090909,0.85029005784403,0.64608429920495,1.30976547092072,1.33749127815356,0.914943196690176,0.492992007992008,0.0913087912087912,0.584300799200799
"87",64,"Seed","HH.782981.rep1","65","25","55","A","H","H",1500.03625503,1275.8937835,1.33733359614576,133.763187846154,1.10567159038,263.993354410256,0.27424455821512,722.292764,0.591398158867582,150.518999380952,0.0254672322732814,187.427346166667,0.777544139189513,179.321419147392,-0.673434844700601,259.439833866667,0.0304694270983144,53.6641583205128,-0.328127451190485,16.7558115347985,-1.08020435810672,-4.55352054358974,-0.243775131116805,-84.6719352628641,-0.947679402915721,-553.6010195,-0.745935437278176,13,6,-7,1.40118779452411,1.12526474439343,0.982751381928678,0.67926489872438,0.566107283647566,0.461538461538462,0.703232448002292,0.0230332700006598,0.111103123783459,-2.45559966288321,0.44222186638548,NA,NA,NA
"94",70,"Seed","LH.1417663.rep1","85","35","55","A","L","H",1034.801341452,839.932250222,-1.50863809290997,57.6942831851667,-1.89444174030412,266.785599112758,0.351999426473516,640.598515,-1.27993509947761,41.3631062894737,-1.83934961346001,57.694234875,-2.01489189292994,194.405516843144,-0.0586823881705899,259.873523857143,0.107139771026131,-4.83101666617358e-05,-0.120450152625821,-16.331176895693,0.0550921268441102,-6.9120752556147,-0.244859655447384,-72.3800822696135,-0.410681814644106,-199.333735222,0.228702993432357,11,8,-3,0.99999916265245,0.71693595978515,0.974091272997486,0.728695692307508,0.762678793236818,0.727272727272727,1.06358081648184,0.970919070419518,0.304374845435132,-0.1667116016594,0.84840433599869,NA,NA,NA
"99",74,"Seed","LL.305726.rep1","92.5","92.5","7.5","B","L","L",997.593311548,735.835126548,-2.23828629337366,72.526320016,-1.27560112087285,176.258968197394,-2.84519378706601,423.362917548,-2.47978459627493,29.6695727035333,-1.51745008605389,41.6918946634286,-2.54706621536867,41.1824330373264,-2.14346166700148,143.585472442286,-3.0199410525845,-30.8344253525714,-1.27146509449582,-42.8567473124667,-0.241848965181042,-32.6734957551082,-0.174747265518487,-135.076535160068,0.701732120064535,-312.472209,-0.241498302901273,12,7,-5,0.574851924849226,0.409086972798123,0.814627896161761,0.233647305771164,0.575350241207034,0.583333333333333,1.99675758643564,1.18959607452803,1.06141840542211,0.753362275970605,1.10789428663179,NA,NA,NA
"104",78,"Plug","LH.389271.rep1","75",NA,NA,"B","L","H",963.44861948,828.83278517,-1.52660761582924,36.9331926116667,-2.69767516523106,270.733409816212,0.483728880573254,786.68688417,-1.49456673916331,26.4197921317209,-2.1972444965469,32.6278647581818,-2.75008512448697,231.978564482647,0.664081589164882,274.539355121818,0.631469702709413,-4.30532785348485,-0.0524099592559035,-10.5134004799457,0.500430668684165,3.80594530560609,0.14774082213616,-38.7548453335651,0.180352708591628,-42.145901,0.0320408766659257,12,11,-1,0.88342930710721,0.715340057641681,1.01405790777056,0.856852372376672,0.949150296954825,0.916666666666667,1.0194278243472,0.81449557932921,1.30542071823596,1.37283841390222,0.979011714383122,0.454558323901686,0.140481828470888,0.595040152372574
"106",79,"Plug","HH.1018148.rep1","75",NA,NA,"B","H","H",1541.46107343,1357.64979759,2.38007500146405,172.340913598333,2.43065327450077,301.327247810455,1.62512409363962,1357.64979759,2.30700473543117,162.881821787305,1.52476864677826,172.340913598333,2.31965959412035,260.701810755031,1.22707007905319,301.327247810455,1.55909786265123,0,-0.11099368038042,-9.45909181102863,-0.905884627722511,0,-0.0660262309883917,-40.6254370554237,-0.398054014586423,0,-0.0730702660328788,12,12,0,1,0.945114067150216,1,0.865178348952437,1,1,0.954335864541101,0.627308165575953,0.95937157584039,0.755062388069736,0.969299175031068,0.720800974418839,0.145308027906721,0.86610900232556
"110",82,"Plug","LL.305726.rep1","92.5",NA,NA,"B","L","L",997.593311548,735.835126548,-2.23828629337366,72.526320016,-1.27560112087285,176.258968197394,-2.84519378706601,735.243828548,-1.86283440852034,38.8116359826788,-1.44488103719028,79.0121131083636,-1.2783304570991,128.083675285686,-1.53447781696006,183.258070172364,-2.55411551511837,6.48579309236364,-0.0027293362262466,-33.7146840333212,-0.169279916317427,6.9991019749697,0.291078271947645,-48.175292911708,1.31071597010595,-0.591298000000052,0.375451884853313,12,11,-1,1.0894267500534,0.535138636209814,1.03970919634076,0.726678912259624,0.999196425967358,0.916666666666667,1.00213964708998,1.1327059952735,0.89769474639272,0.53932277791961,0.832259221724754,0.846557809223294,0.293209662665497,1.13976747188879
"114",85,"Seed","HH.1124950.rep1","65","45","45","B","H","H",1524.178324741,1201.526430491,1.14447242936803,139.029946134333,1.09051976818535,281.631122081833,0.895711867066964,731.092703991,-3.46738476552401e-05,45.9534009682171,-1.72772078301669,126.002275230286,-0.418982801600353,106.031866951987,-2.03714060276031,274.483385140286,0.428527360928513,-13.0276709040476,-1.5095025697857,-93.0765451661163,-2.81824055120204,-7.14773694154758,-0.467184506138451,-175.599255129846,-2.93285246982727,-470.4337265,-1.14450710321569,12,7,-5,0.906295936477886,0.330528797902403,0.974620216371291,0.376492009008783,0.608469930779834,0.583333333333333,-0.384204682779433,-1.58430945813267,0.478420993049628,-2.27432579343957,-3.02967959432511e-05,NA,NA,NA
"117",87,"Plug","LH.1417663.rep1","75",NA,NA,"A","L","H",1034.801341452,839.932250222,-1.50863809290997,57.6942831851667,-1.89444174030412,266.785599112758,0.351999426473516,839.932250222,-1.39838885567719,43.4154914821782,-1.94294633514564,57.6942831851667,-1.94455294560822,212.740307979616,-0.393652190987808,266.785599112758,0.370123593629416,0,-0.0501112053041044,-14.2787917029884,-0.0485045948415226,0,0.0181241671559004,-54.0452911331412,-0.745651617461324,0,0.110249237232785,12,12,0,1,0.75250941835673,1,0.797420508030125,1,1,1.02645170038117,1.02560363499684,1.05148919513158,-1.11833191017266,0.926921348631647,0.88856547908083,-0.0138896135427233,0.874675865538106
"119",88,"Plug","LL.1091767.rep1","85",NA,NA,"A","L","L",1024.81177273,910.047751,-1.38728245313737,54.9074943846154,-1.95121545745078,267.340770128205,0.402299780961127,910.047751,-1.24578339422938,24.08472066875,-2.29619731660027,54.9074943846154,-2.03330407736647,200.184738982188,-0.610849676477619,267.340770128205,0.450948102017481,0,-0.0820886199156841,-30.8227737158654,-0.344981859149488,0,0.0486483210563545,-67.1560311460176,-1.01314945743875,0,0.141499058907982,13,13,0,1,0.438641772652047,1,0.748799888943941,1,1,1.04207050513167,1.17680357022192,1.12092554696433,-1.51839425569223,0.898002704072282,0.85189715703774,0.222736413209115,1.07463357024686
"122",90,"Seed","LL.1091767.rep1","75","55","25","A","L","L",1024.81177273,910.047751,-1.38728245313737,54.9074943846154,-1.95121545745078,267.340770128205,0.402299780961127,693.484,-1.72927108699118,18.5204968244275,-2.12179648001635,35.1751828,-2.73662080833663,134.135583854554,-1.62407112148018,243.427868533333,-0.354062348660032,-19.7323115846154,-0.785405350885848,-36.3869975601879,-0.170581022565569,-23.9129015948718,-0.756362129621159,-133.205186273651,-2.0263709024413,-216.563751,-0.34198863385381,13,10,-3,0.640626260481043,0.337303623703812,0.910552731693695,0.501740096694673,0.762030343174817,0.769230769230769,1.40252107879053,1.08742295573469,-0.880095802722407,-4.0369674514864,1.24651694619246,NA,NA,NA
"125",92,"Plug","LH.1773854.rep1","92.5",NA,NA,"B","L","H",973.963222148,973.857718148,-1.10088641618797,62.2311270154286,-1.64381760226175,265.914172229934,0.402923590541311,973.077159148,-0.87554621551338,73.55045967872,-0.713061980867445,68.2672852473846,-1.40216257382297,182.97712051928,-0.513612192758342,261.438991868923,0.164322006634101,6.03615823195604,0.241655028438778,11.3193326632914,0.9307556213943,-4.47518036101098,-0.23860158390721,-82.937051710654,-0.916535783299653,-0.780559000000039,0.225340200674589,14,13,-1,1.09699580453459,1.1818918153368,0.983170583487587,0.68810593653151,0.999198487637923,0.928571428571429,0.852991580023062,0.433784125371535,0.407824238867079,-1.27471363011613,0.795310217874363,0.939138109459659,0.273210241094726,1.21234835055439
"128",94,"Plug","MH.1666090.rep1","65",NA,NA,"B","M","H",1226.36264653,1091.49726,-0.331137645919334,74.8232893571429,-1.14785318324277,264.702034802198,0.333756555163614,1049.351359,-0.319063492590933,72.613149627907,-1.13962285731729,83.4373405384615,-0.936555330061335,233.783008629529,0.0421889020379034,266.887216794872,0.417196821069349,8.61405118131869,0.211297853181438,-2.21013972923588,0.00823032592548389,2.18518199267402,0.0834402659057345,-30.9190261726683,-0.291567653125711,-42.1459010000001,0.0120741533284008,14,13,-1,1.1151252672173,0.970461874261013,1.00825525196399,0.883193092203568,0.961387075767831,0.928571428571429,0.81591909464893,0.992829809556103,1.25000337705676,0.126406212507861,0.963537358324574,0.801297735325483,-0.142653971376161,0.658643763949322
"130",95,"Plug","HH.1124950.rep1","85",NA,NA,"B","H","H",1524.178324741,1201.526430491,1.14447242936803,139.029946134333,1.09051976818535,281.631122081833,0.895711867066964,1201.526430491,1.19388321835025,78.3605232692308,-0.809251987537911,139.029946134333,1.06758148906601,193.645750089627,-0.522862652581219,281.631122081833,0.890985796735268,0,-0.0229382791193373,-60.6694228651025,-1.89977175572326,0,-0.00472607033169548,-87.9853719922068,-1.41857451964818,0,0.049410788982218,12,12,0,1,0.563623344811753,1,0.687586473604856,1,1,0.978965737450585,-0.742079154497608,0.994723671187732,-0.58373978486335,1.04317342009672,1.04747767359824,0.288933446983735,1.33641112058198
"132",96,"Plug","ML.975885.rep1","65",NA,NA,"B","M","L",1234.40450973,1012.645094,-0.20984915343567,114.312298916667,0.189103729252328,241.692444075758,-0.593194263590994,1012.645094,-0.201381846600474,102.327508125731,-0.253409487869392,114.312298916667,0.205008507699551,208.234330138145,-0.663782034013579,241.692444075758,-0.48293817205283,0,0.0159047784472235,-11.9847907909357,-0.442513217121719,0,0.110256091538164,-33.4581139376125,-0.0705877704225841,0,0.00846730683519611,12,12,0,1,0.895157468579365,1,0.861567397915322,1,1,1.0841061067918,-1.34005547575034,0.814131561437038,1.11899604354781,0.959650507535682,1.15857066179875,-0.0453498128713679,1.11322084892739
"135",98,"Seed","MH.1825752.rep1","85","75","25","B","M","H",1298.47288753,752.94965135,-0.440049498940755,102.8920788375,-0.839412248001744,277.3594525875,0.589911806510448,527.96868973,-0.42919948569548,76.4414273578527,-0.935200639623455,107.145561492,-1.16579242136475,66.6175547733524,-0.919170152014361,263.208433092,0.172272415366928,4.25348265449999,-0.326380173363003,-26.4506514796472,-0.0957883916217105,-14.1510194955,-0.41763939114352,-210.741897814148,-1.50908195852481,-224.98096162,0.0108500132452754,8,5,-3,1.04133926248315,0.742928204206843,0.948979494430478,0.240184908615423,0.701200523545471,0.625,1.38881988455609,1.11411364541051,0.292030797596653,-1.55814842467996,0.975343652767717,NA,NA,NA
"137",99,"Seed","LH.1773854.rep1","92.5","25","92.5","B","L","H",973.963222148,973.857718148,-1.10088641618797,62.2311270154286,-1.64381760226175,265.914172229934,0.402923590541311,889.624097228,0.698679500447613,195.457619091319,0.844860028834593,177.1545683235,1.2965051099224,92.1670906832413,-0.0508881883429203,251.164676235571,-0.181698210930007,114.923441308071,2.94032271218414,133.226492075891,2.48867763109634,-14.7494959943626,-0.584621801471318,-173.747081546693,-0.453811778884231,-84.2336209199999,1.79956591663558,13,8,-5,2.84671958905033,3.14083367063014,0.944532869870475,0.346604657850072,0.913505207844747,0.615384615384615,-0.788715918444069,-0.513962149859049,-0.450949547744036,-0.126297366392854,-0.634651758958863,NA,NA,NA
